store,business_date,lines_in_original,lines_in_resends,distinct_lines,verdict
S01,20240702,190,190,190,resend is complete
S01,20240914,432,432,432,resend is complete
S01,20241217,247,247,247,resend is complete
S02,20240317,330,330,330,resend is complete
S02,20240517,295,295,295,resend is complete
S02,20240822,223,446,223,resend is complete
S02,20241013,409,409,409,resend is complete
S03,20240705,396,792,396,resend is complete
S03,20241104,364,728,364,resend is complete
S04,20240219,95,190,95,resend is complete
S04,20240401,153,153,153,resend is complete
S04,20240417,134,134,134,resend is complete
S04,20240604,163,163,163,resend is complete
S04,20240617,195,390,195,resend is complete
S04,20240905,157,314,157,resend is complete
S04,20241106,255,510,255,resend is complete
S04,20241221,406,406,406,resend is complete
S05,20240201,129,129,129,resend is complete
S05,20240924,118,118,118,resend is complete
S05,20241029,238,238,238,resend is complete
S06,20240124,266,266,266,resend is complete
S06,20240818,372,372,372,resend is complete
S06,20241221,484,968,484,resend is complete
S07,20240427,256,256,256,resend is complete
S07,20240513,103,103,103,resend is complete
S07,20240522,144,288,144,resend is complete
S07,20240713,268,268,268,resend is complete
S07,20240907,309,309,309,resend is complete
S08,20240813,184,184,184,resend is complete
S08,20241204,164,164,164,resend is complete
S09,20240111,201,201,201,resend is complete
S09,20240123,139,278,139,resend is complete
S09,20240515,149,149,149,resend is complete
S09,20240725,139,139,139,resend is complete
S09,20241011,259,259,259,resend is complete
S09,20241129,185,370,185,resend is complete
S10,20240519,382,382,382,resend is complete
S10,20240614,344,344,344,resend is complete
S10,20240731,235,470,235,resend is complete
S10,20240806,251,251,251,resend is complete
S10,20241122,488,976,488,resend is complete
S11,20240314,182,182,182,resend is complete
S12,20240206,308,308,308,resend is complete
S12,20240228,141,141,141,resend is complete
S12,20241108,312,624,312,resend is complete
S12,20241115,258,258,258,resend is complete
S01,20241112,263,150,263,resend is PARTIAL
S02,20241130,316,180,316,resend is PARTIAL
S03,20241118,356,198,356,resend is PARTIAL
S06,20241108,414,221,414,resend is PARTIAL
S06,20241117,488,258,488,resend is PARTIAL
S07,20241117,317,165,317,resend is PARTIAL
S10,20241108,426,227,426,resend is PARTIAL
S12,20241114,239,138,239,resend is PARTIAL
