store_name,category_name,day_of_week,business_month,revenue
Annapurna T Nagar,Biscuits & Snacks,Friday,2024-10,12841.83
Annapurna T Nagar,Biscuits & Snacks,Monday,2024-10,9433.72
Annapurna T Nagar,Biscuits & Snacks,Saturday,2024-10,20586.1
Annapurna T Nagar,Biscuits & Snacks,Sunday,2024-10,13807.63
Annapurna T Nagar,Biscuits & Snacks,Thursday,2024-10,13204.34
Annapurna T Nagar,Biscuits & Snacks,Tuesday,2024-10,11318.32
Annapurna T Nagar,Biscuits & Snacks,Wednesday,2024-10,10249.91
Annapurna T Nagar,Staples & Grains,Friday,2024-10,115401.48
Annapurna T Nagar,Staples & Grains,Monday,2024-10,142529.93
Annapurna T Nagar,Staples & Grains,Saturday,2024-10,248893.9
Annapurna T Nagar,Staples & Grains,Sunday,2024-10,221404.13
Annapurna T Nagar,Staples & Grains,Thursday,2024-10,163796.76
Annapurna T Nagar,Staples & Grains,Tuesday,2024-10,155341.99
Annapurna T Nagar,Staples & Grains,Wednesday,2024-10,172805.97
