reporting_period,category_id,category_name,lines,revenue_as_billed,revenue_at_price_in_force,till_sync_drift
2024-03,C04,Staples & Grains,4941,7930382.4,7932824.85,2442.45
2024-03,C09,Baby Care,4736,7225791.72,7224331.74,-1459.98
2024-03,C05,Edible Oils,4560,6509303.71,6510401.71,1098.0
2024-03,C07,Personal Care,3938,3149407.08,3148244.24,-1162.84
2024-03,C02,Dairy,4981,3108012.27,3107930.6,-81.67
2024-03,C10,Frozen & Ready to Eat,4754,2358078.01,2357876.18,-201.83
2024-03,C08,Home Care,3799,2273641.3,2273285.01,-356.29
2024-03,C03,Beverages,4176,2070373.52,2070311.2,-62.32
2024-03,C14,Stationery & General,4373,2011841.34,2011928.78,87.44
2024-03,C06,Spices & Masala,4350,1536955.18,1536968.51,13.33
2024-03,C13,Confectionery,4390,1412880.5,1412794.41,-86.09
2024-03,C12,Fruits & Vegetables,4469,1217286.54,1217284.03,-2.51
2024-03,C11,Bakery,4814,999071.34,999249.28,177.94
2024-03,C01,Biscuits & Snacks,4355,589924.0,589755.16,-168.84
2024-03,C00,Bill-level discount,1871,-421299.82,-421299.82,0.0
